City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
451,upington,-28.4478,21.2561,33.21,12,75,3.6,ZA,1706631631
452,kyzyl-mazhalyk,51.1333,90.6,-23.94,99,63,1.79,RU,1706631788
453,al burayqah,30.4062,19.5739,13.87,64,7,9.05,LY,1706631789
454,elhovo,42.1667,26.5667,3.23,78,87,7.7,BG,1706631789
455,cinisi,38.1562,13.1073,12.56,58,20,6.17,IT,1706631789
456,mortara,45.2473,8.7355,10.03,88,98,0.62,IT,1706631789
457,alaghsas,17.0187,8.0168,26.78,12,57,8.4,NE,1706631789
458,robore,-18.3333,-59.75,35.05,49,20,7.72,BO,1706631790
459,kstovo,56.1473,44.1979,-1.34,92,80,4.58,RU,1706631790
460,vung tau,10.346,107.0843,24.94,83,59,8.89,VN,1706631790
461,kruisfontein,-34.0033,24.7314,24.38,71,100,5.91,ZA,1706631733
462,leh,34.1667,77.5833,-3.99,50,100,3.45,IN,1706631790
463,glen innes,-29.7333,151.7333,16.14,96,73,2.76,AU,1706631791
464,salahonda,2.1019,-78.7217,27.49,80,99,2.7,CO,1706631791
465,altay,47.8667,88.1167,-13.94,70,86,2.01,CN,1706631791
466,peace river,56.2501,-117.286,6.48,87,75,7.2,CA,1706631685
467,severoural'sk,60.1533,59.952,-7.79,88,100,2.08,RU,1706631791
468,soio,-6.1349,12.3689,27.76,82,100,2.09,AO,1706631792
469,chicoana,-25.1009,-65.5331,29.47,44,0,0.92,AR,1706631792
470,castanos,26.7833,-101.4167,16.3,44,0,0.0,MX,1706631792
471,quellon,-43.1167,-73.6167,17.95,59,2,3.92,CL,1706631792
472,ed damer,17.5928,33.9592,23.39,12,63,5.12,SD,1706631792
473,simpang,-1.2667,104.0833,24.7,91,100,1.05,ID,1706631793
474,puruliya,23.3333,86.3667,20.59,35,98,1.12,IN,1706631793
475,dapa,9.7594,126.0531,26.13,85,99,5.29,PH,1706631793
476,chibougamau,49.9168,-74.3659,-10.21,85,100,5.66,CA,1706631793
477,bukoba,-1.3317,31.8122,22.2,75,68,3.18,TZ,1706631793
478,ayaviri,-14.8864,-70.5889,12.49,62,94,1.51,PE,1706631794
479,mokhsogollokh,61.4681,128.9203,-32.65,96,79,1.78,RU,1706631794
480,nguigmi,14.2495,13.1092,27.41,18,79,6.69,NE,1706631794
481,tomball,30.0972,-95.6161,17.33,52,0,2.57,US,1706631794
482,kavieng,-2.5744,150.7967,28.41,78,100,5.09,PG,1706631794
483,meiktila,20.8667,95.8667,19.38,34,41,1.06,MM,1706631795
484,arrifes,37.7667,-25.7,17.18,77,75,6.69,PT,1706631795
485,kyaikkami,16.08,97.5675,23.6,85,0,2.2,MM,1706631795
486,wanganui,-39.9333,175.05,16.51,80,63,2.59,NZ,1706631795
487,usogorsk,63.4106,48.6872,0.37,93,95,5.62,RU,1706631795
488,gorontalo,0.5412,123.0595,24.56,94,48,1.67,ID,1706631796
489,bontang,0.1333,117.5,26.98,83,70,4.66,ID,1706631796
490,jiangyin,31.9282,120.3126,8.88,93,100,1.96,CN,1706631796
491,porbandar,21.6422,69.6093,20.99,73,15,2.57,IN,1706631796
492,port-vila,-17.7338,168.3219,22.78,94,75,1.03,VU,1706631796
493,shurugwi,-19.6702,30.0059,23.32,44,16,4.88,ZW,1706631797
494,zhuanghe,39.7008,122.9911,-1.86,95,100,1.99,CN,1706631797
495,quelimane,-17.8786,36.8883,29.97,62,20,2.06,MZ,1706631797
496,bodo,67.28,14.405,7.02,66,75,13.89,NO,1706631797
497,galliano,29.4422,-90.2992,16.67,55,98,1.32,US,1706631798
498,moscow,55.7522,37.6156,1.29,98,100,1.61,RU,1706631770
499,makokou,0.5738,12.8642,34.76,29,99,1.12,GA,1706631798
500,pekanbaru,0.5333,101.45,26.18,94,100,2.06,ID,1706631798
501,oyem,1.5995,11.5793,33.4,28,93,0.96,GA,1706631568
502,taulaga,-11.0553,-171.0883,29.49,75,94,2.55,AS,1706631590
503,yerofey pavlovich,53.9667,121.9667,-26.65,95,100,1.1,RU,1706631798
504,brasileia,-11.0161,-68.7481,29.25,84,75,2.57,BR,1706631799
505,bumba,2.1833,22.4667,32.06,35,100,1.15,CD,1706631799
506,vilhena,-12.7406,-60.1458,30.12,62,40,4.12,BR,1706631569
507,challapata,-18.9,-66.7667,15.72,43,77,1.36,BO,1706631799
508,belyy yar,53.6039,91.3903,-26.06,84,87,0.0,RU,1706631580
509,tekirdag,40.978,27.5085,2.64,85,88,9.53,TR,1706631800
510,mogilno,52.6581,17.9558,5.11,73,99,1.79,PL,1706631800
511,darwin,-12.4611,130.8418,25.99,92,75,2.57,AU,1706631425
512,paoua,7.2427,16.4406,34.31,11,30,2.32,CF,1706631800
513,necochea,-38.5473,-58.7368,29.48,51,6,7.87,AR,1706631800
514,aur,8.1499,171.1687,26.59,87,100,10.2,MH,1706631800
515,yanchep,-31.55,115.6833,24.41,67,0,4.04,AU,1706631801
516,jingdezhen,29.2947,117.2079,12.24,96,100,0.4,CN,1706631801
517,san jose,37.3394,-121.895,14.69,75,75,2.57,US,1706631160
518,stephenville,32.2207,-98.2023,18.2,38,0,3.6,US,1706631626
519,sinamar,16.9,121.5667,19.29,91,42,1.02,PH,1706631801
520,daru,-9.0763,143.2092,26.58,87,100,2.41,PG,1706631801
521,piti village,13.4626,144.6933,26.28,79,100,8.75,GU,1706631802
522,dunedin,-45.8742,170.5036,12.67,88,15,1.34,NZ,1706631728
523,pangody,65.85,74.4859,-19.56,94,19,7.84,RU,1706631598
